Uhrzeit;Netzbezug [kW];Netzeinspeisung [kW];Stromverbrauch [kW];Akku-Beladung [kW];Akku-Entnahme [kW];Stromerzeugung [kW];Akku Spannung [V];Akku Stromstärke [A]
14.03.2022 00:13:13;0,197754;0;0,199219;0;0;0;0;0
14.03.2022 00:18:13;0,212402;0;0,210938;0;0;0;0;0
14.03.2022 00:23:13;0,269531;0;0,269531;0;0;0;0;0
14.03.2022 00:28:13;0,259277;0;0,257813;0;0;0;0;0
14.03.2022 00:33:13;0,290039;0;0,292969;0;0;0;0;0
14.03.2022 00:38:15;0,279387;0;0,279387;0;0;0;0;0
14.03.2022 00:43:17;0,266291;0;0,261926;0;0;0;0;0
14.03.2022 00:48:19;0,260471;0;0,267746;0;0;0;0;0
